"id_municipio","Município","Situação do domicílio","Grupo de idade","rural_pop"
"1507466","São João da Ponta (PA)","Rural","Total","80.42"
"1507474","São João de Pirabas (PA)","Rural","Total","49.21"
"1507508","São João do Araguaia (PA)","Rural","Total","80.34"
"1507607","São Miguel do Guamá (PA)","Rural","Total","38.17"
"1507706","São Sebastião da Boa Vista (PA)","Rural","Total","56.77"
"1507755","Sapucaia (PA)","Rural","Total","34.12"
"1507805","Senador José Porfírio (PA)","Rural","Total","50.40"
"1507904","Soure (PA)","Rural","Total","8.63"
"1507953","Tailândia (PA)","Rural","Total","25.96"
"1507961","Terra Alta (PA)","Rural","Total","57.77"
"1507979","Terra Santa (PA)","Rural","Total","33.13"
"1508001","Tomé-Açu (PA)","Rural","Total","44.15"
"1508035","Tracuateua (PA)","Rural","Total","73.57"
"1508050","Trairão (PA)","Rural","Total","66.35"
"1508084","Tucumã (PA)","Rural","Total","20.13"
"1508100","Tucuruí (PA)","Rural","Total","4.82"
"1508126","Ulianópolis (PA)","Rural","Total","34.18"
"1508159","Uruará (PA)","Rural","Total","45.46"
"1508209","Vigia (PA)","Rural","Total","32.44"
"1508308","Viseu (PA)","Rural","Total","67.56"
"1508357","Vitória do Xingu (PA)","Rural","Total","52.87"
"1508407","Xinguara (PA)","Rural","Total","22.38"
"1600055","Serra do Navio (AP)","Rural","Total","41.21"
"1600105","Amapá (AP)","Rural","Total","13.76"
"1600154","Pedra Branca do Amapari (AP)","Rural","Total","44.64"
"1600204","Calçoene (AP)","Rural","Total","18.81"
"1600212","Cutias (AP)","Rural","Total","48.00"
"1600238","Ferreira Gomes (AP)","Rural","Total","26.32"
"1600253","Itaubal (AP)","Rural","Total","58.87"
"1600279","Laranjal do Jari (AP)","Rural","Total","5.10"
"1600303","Macapá (AP)","Rural","Total","4.30"
"1600402","Mazagão (AP)","Rural","Total","51.43"
"1600501","Oiapoque (AP)","Rural","Total","32.46"
"1600535","Porto Grande (AP)","Rural","Total","35.70"
"1600550","Pracuúba (AP)","Rural","Total","50.41"
"1600600","Santana (AP)","Rural","Total","2.12"
"1600709","Tartarugalzinho (AP)","Rural","Total","48.13"
"1600808","Vitória do Jari (AP)","Rural","Total","17.11"
"1700251","Abreulândia (TO)","Rural","Total","38.27"
"1700301","Aguiarnópolis (TO)","Rural","Total","19.76"
"1700350","Aliança do Tocantins (TO)","Rural","Total","16.13"
"1700400","Almas (TO)","Rural","Total","20.79"
"1700707","Alvorada (TO)","Rural","Total","7.27"
"1701002","Ananás (TO)","Rural","Total","17.45"
"1701051","Angico (TO)","Rural","Total","38.96"
"1701101","Aparecida do Rio Negro (TO)","Rural","Total","21.36"
"1701309","Aragominas (TO)","Rural","Total","62.09"
"1701903","Araguacema (TO)","Rural","Total","53.70"
"1702000","Araguaçu (TO)","Rural","Total","33.05"
"1702109","Araguaína (TO)","Rural","Total","5.02"
"1702158","Araguanã (TO)","Rural","Total","32.68"
"1702208","Araguatins (TO)","Rural","Total","35.73"
"1702307","Arapoema (TO)","Rural","Total","19.09"
"1702406","Arraias (TO)","Rural","Total","30.76"
"1702554","Augustinópolis (TO)","Rural","Total","17.39"
"1702703","Aurora do Tocantins (TO)","Rural","Total","27.97"
"1702901","Axixá do Tocantins (TO)","Rural","Total","17.83"
"1703008","Babaçulândia (TO)","Rural","Total","52.71"
"1703057","Bandeirantes do Tocantins (TO)","Rural","Total","46.03"
"1703073","Barra do Ouro (TO)","Rural","Total","46.98"
"1703107","Barrolândia (TO)","Rural","Total","16.26"
"1703206","Bernardo Sayão (TO)","Rural","Total","50.92"
"1703305","Bom Jesus do Tocantins (TO)","Rural","Total","25.00"
"1703602","Brasilândia do Tocantins (TO)","Rural","Total","30.43"
"1703701","Brejinho de Nazaré (TO)","Rural","Total","19.09"
"1703800","Buriti do Tocantins (TO)","Rural","Total","23.69"
"1703826","Cachoeirinha (TO)","Rural","Total","19.41"
"1703842","Campos Lindos (TO)","Rural","Total","40.79"
"1703867","Cariri do Tocantins (TO)","Rural","Total","44.28"
"1703883","Carmolândia (TO)","Rural","Total","21.24"
"1703891","Carrasco Bonito (TO)","Rural","Total","46.66"
"1703909","Caseara (TO)","Rural","Total","40.51"
"1704105","Centenário (TO)","Rural","Total","41.39"
"1704600","Chapada de Areia (TO)","Rural","Total","43.90"
"1705102","Chapada da Natividade (TO)","Rural","Total","49.47"
"1705508","Colinas do Tocantins (TO)","Rural","Total","3.99"
"1705557","Combinado (TO)","Rural","Total","14.33"
"1705607","Conceição do Tocantins (TO)","Rural","Total","30.39"
"1706001","Couto Magalhães (TO)","Rural","Total","62.39"
"1706100","Cristalândia (TO)","Rural","Total","18.11"
"1706258","Crixás do Tocantins (TO)","Rural","Total","44.25"
"1706506","Darcinópolis (TO)","Rural","Total","33.83"
"1707009","Dianópolis (TO)","Rural","Total","13.96"
"1707108","Divinópolis do Tocantins (TO)","Rural","Total","29.81"
"1707207","Dois Irmãos do Tocantins (TO)","Rural","Total","61.22"
"1707306","Dueré (TO)","Rural","Total","33.47"
"1707405","Esperantina (TO)","Rural","Total","51.31"
"1707553","Fátima (TO)","Rural","Total","17.61"
"1707652","Figueirópolis (TO)","Rural","Total","24.08"
"1707702","Filadélfia (TO)","Rural","Total","34.89"
"1708205","Formoso do Araguaia (TO)","Rural","Total","27.64"
"1708254","Tabocão (TO)","Rural","Total","18.64"
"1708304","Goianorte (TO)","Rural","Total","44.31"
"1709005","Goiatins (TO)","Rural","Total","58.98"
"1709302","Guaraí (TO)","Rural","Total","8.93"
"1709500","Gurupi (TO)","Rural","Total","2.29"
"1709807","Ipueiras (TO)","Rural","Total","41.55"
"1710508","Itacajá (TO)","Rural","Total","39.85"
"1710706","Itaguatins (TO)","Rural","Total","43.67"
"1710904","Itapiratins (TO)","Rural","Total","45.81"
"1711100","Itaporã do Tocantins (TO)","Rural","Total","36.07"
"1711506","Jaú do Tocantins (TO)","Rural","Total","62.65"
"1711803","Juarina (TO)","Rural","Total","53.70"
"1711902","Lagoa da Confusão (TO)","Rural","Total","37.98"
"1711951","Lagoa do Tocantins (TO)","Rural","Total","28.00"
"1712009","Lajeado (TO)","Rural","Total","21.89"
"1712157","Lavandeira (TO)","Rural","Total","36.26"
"1712405","Lizarda (TO)","Rural","Total","30.66"
"1712454","Luzinópolis (TO)","Rural","Total","36.12"
"1712504","Marianópolis do Tocantins (TO)","Rural","Total","45.24"
"1712702","Mateiros (TO)","Rural","Total","36.26"
"1712801","Maurilândia do Tocantins (TO)","Rural","Total","36.05"
"1713205","Miracema do Tocantins (TO)","Rural","Total","13.28"
"1713304","Miranorte (TO)","Rural","Total","12.57"
"1713601","Monte do Carmo (TO)","Rural","Total","57.10"
"1713700","Monte Santo do Tocantins (TO)","Rural","Total","78.42"
"1713809","Palmeiras do Tocantins (TO)","Rural","Total","43.69"
"1713957","Muricilândia (TO)","Rural","Total","42.89"
"1714203","Natividade (TO)","Rural","Total","20.06"
"1714302","Nazaré (TO)","Rural","Total","54.61"
"1714880","Nova Olinda (TO)","Rural","Total","30.14"
"1715002","Nova Rosalândia (TO)","Rural","Total","34.54"
"1715101","Novo Acordo (TO)","Rural","Total","18.05"
"1715150","Novo Alegre (TO)","Rural","Total","25.68"
"1715259","Novo Jardim (TO)","Rural","Total","27.72"
"1715507","Oliveira de Fátima (TO)","Rural","Total","21.22"
"1715705","Palmeirante (TO)","Rural","Total","61.12"
"1715754","Palmeirópolis (TO)","Rural","Total","18.50"
"1716109","Paraíso do Tocantins (TO)","Rural","Total","4.38"
"1716208","Paranã (TO)","Rural","Total","54.34"
"1716307","Pau D'Arco (TO)","Rural","Total","36.79"
"1716505","Pedro Afonso (TO)","Rural","Total","13.20"
"1716604","Peixe (TO)","Rural","Total","49.59"
"1716653","Pequizeiro (TO)","Rural","Total","52.71"
"1716703","Colméia (TO)","Rural","Total","26.02"
"1717008","Pindorama do Tocantins (TO)","Rural","Total","34.60"
"1717206","Piraquê (TO)","Rural","Total","61.58"
"1717503","Pium (TO)","Rural","Total","43.55"
"1717800","Ponte Alta do Bom Jesus (TO)","Rural","Total","44.96"
"1717909","Ponte Alta do Tocantins (TO)","Rural","Total","36.95"
"1718006","Porto Alegre do Tocantins (TO)","Rural","Total","31.37"
"1718204","Porto Nacional (TO)","Rural","Total","13.66"
"1718303","Praia Norte (TO)","Rural","Total","41.66"
"1718402","Presidente Kennedy (TO)","Rural","Total","12.33"
"1718451","Pugmil (TO)","Rural","Total","15.41"
"1718501","Recursolândia (TO)","Rural","Total","47.19"
"1718550","Riachinho (TO)","Rural","Total","56.76"
"1718659","Rio da Conceição (TO)","Rural","Total","8.17"
"1718709","Rio dos Bois (TO)","Rural","Total","59.96"
"1718758","Rio Sono (TO)","Rural","Total","61.51"
"1718808","Sampaio (TO)","Rural","Total","9.01"
"1718840","Sandolândia (TO)","Rural","Total","46.96"
"1718865","Santa Fé do Araguaia (TO)","Rural","Total","33.72"
"1718881","Santa Maria do Tocantins (TO)","Rural","Total","40.39"
"1718899","Santa Rita do Tocantins (TO)","Rural","Total","56.86"
"1718907","Santa Rosa do Tocantins (TO)","Rural","Total","35.49"
"1719004","Santa Tereza do Tocantins (TO)","Rural","Total","35.95"
"1720002","Santa Terezinha do Tocantins (TO)","Rural","Total","35.57"
"1720101","São Bento do Tocantins (TO)","Rural","Total","41.06"
"1720150","São Félix do Tocantins (TO)","Rural","Total","35.21"
"1720200","São Miguel do Tocantins (TO)","Rural","Total","75.70"
"1720259","São Salvador do Tocantins (TO)","Rural","Total","44.78"
"1720309","São Sebastião do Tocantins (TO)","Rural","Total","23.35"
"1720499","São Valério (TO)","Rural","Total","37.87"
"1720655","Silvanópolis (TO)","Rural","Total","19.87"
"1720804","Sítio Novo do Tocantins (TO)","Rural","Total","46.71"
"1720853","Sucupira (TO)","Rural","Total","36.51"
"1720903","Taguatinga (TO)","Rural","Total","29.39"
"1720937","Taipas do Tocantins (TO)","Rural","Total","19.95"
"1720978","Talismã (TO)","Rural","Total","46.80"
"1721000","Palmas (TO)","Rural","Total","2.89"
"1721109","Tocantínia (TO)","Rural","Total","56.13"
"1721208","Tocantinópolis (TO)","Rural","Total","19.01"
"1721257","Tupirama (TO)","Rural","Total","40.91"
"1721307","Tupiratins (TO)","Rural","Total","49.21"
"1722081","Wanderlândia (TO)","Rural","Total","46.56"
"1722107","Xambioá (TO)","Rural","Total","15.20"
"2100055","Açailândia (MA)","Rural","Total","24.81"
"2100105","Afonso Cunha (MA)","Rural","Total","45.23"
"2100154","Água Doce do Maranhão (MA)","Rural","Total","72.95"
"2100204","Alcântara (MA)","Rural","Total","70.72"
"2100303","Aldeias Altas (MA)","Rural","Total","43.08"
"2100402","Altamira do Maranhão (MA)","Rural","Total","58.57"
"2100436","Alto Alegre do Maranhão (MA)","Rural","Total","21.24"
"2100477","Alto Alegre do Pindaré (MA)","Rural","Total","68.35"
"2100501","Alto Parnaíba (MA)","Rural","Total","34.72"
"2100550","Amapá do Maranhão (MA)","Rural","Total","24.72"
"2100600","Amarante do Maranhão (MA)","Rural","Total","59.64"
"2100709","Anajatuba (MA)","Rural","Total","72.26"
"2100808","Anapurus (MA)","Rural","Total","48.60"
"2100832","Apicum-Açu (MA)","Rural","Total","38.75"
"2100873","Araguanã (MA)","Rural","Total","61.52"
"2100907","Araioses (MA)","Rural","Total","71.66"
"2100956","Arame (MA)","Rural","Total","60.41"
"2101004","Arari (MA)","Rural","Total","38.63"
"2101103","Axixá (MA)","Rural","Total","58.77"
"2101202","Bacabal (MA)","Rural","Total","22.15"
"2101251","Bacabeira (MA)","Rural","Total","77.73"
"2101301","Bacuri (MA)","Rural","Total","47.69"
"2101350","Bacurituba (MA)","Rural","Total","73.10"
"2101400","Balsas (MA)","Rural","Total","12.88"
"2101509","Barão de Grajaú (MA)","Rural","Total","42.05"
"2101608","Barra do Corda (MA)","Rural","Total","37.65"
"2101707","Barreirinhas (MA)","Rural","Total","59.36"
"2101731","Belágua (MA)","Rural","Total","49.98"
