id_municipio,id_municipio_tse,Name,State,Region,Population,Dose1 Applied,Dose2 Applied,Dose3 Applied,Dose4 Applied,Dose1 Received,Dose2 Received,Dose3 Received,Dose4 Received,Doses Applied,Doses Received,Bolsonaro Share 18,Bolsonaro Share 22,Far-left 18,Far-right18,PSL coligation 18,Ciro Share 18,Far-left 22,Far-right 22,PL coligation 22,Tebet Share 22,Vaccination coverage,BCG coverage,Polio coverage,elderly(>70yo),Rural pop.,White,Black,Brown,Indigenous,Pop. density,Catholic,Evangelic,Pentecostal Evangelic,Umbanda/Candomble,No religion,Education 8-10y,Education 11-14y,Education 15y plus,Income (BRL),Education 8y less
1100015,310,Alta Floresta D'Oeste,RO,Norte,22516,0.7783354059335583,0.6550008882572393,0.10325990406821815,0.0002664771717889501,0.8668058269674898,0.7088292769586072,0.11160952211760526,0.0005773672055427252,1.5368626754308048,1.687821993249245,0.6937413526491414,0.7115902964959568,0.007669403591085446,0.022286384552918884,0.08968690787692862,0.043850942885500316,0.0004778591908251035,0.0016725071678878624,0.3405543166613571,0.030025485823510674,84.66,82.2,94.92,3.76,42.73,43.39,4.49,49.7,2.04,3.45,0.642387635459229,0.11431870669745958,0.16561556226683247,0.0,0.12106946171611299,10.13,6.52,0.74,1310.78,81.23
1100023,78,Ariquemes,RO,Norte,111148,0.6607946161874257,0.5279987044301292,0.11067225681073883,0.003175945586065426,0.7284971389498687,0.5660740634109476,0.11683521071004427,0.003229927664015547,1.3026415230143593,1.414636340734876,0.8081278281767597,0.7914666560875947,0.007493330240111356,0.029022155202412712,0.11033522793179446,0.05256930750492982,0.000818416469057562,0.003756321742597528,0.10973076196671773,0.03002958890311208,81.06,81.38,86.6,2.6,15.30,35.44,8.64,53.68,0.11,20.41,0.3290207651059848,0.054719833015438875,0.17997624788570193,0.0,0.16360168424083205,15.57,10.28,1.81,1849.3,71.52
1100031,450,Cabixi,RO,Norte,5067,0.8813893822774818,0.7373199131636077,0.11446615354253009,0.008880994671403197,0.9344779948687586,0.7542924807578448,0.11525557529109927,0.00967041641997237,1.7420564436550228,1.8136964673376752,0.6586715867158671,0.6849900313301054,0.006693440428380187,0.020080321285140562,0.13018741633199465,0.05120481927710843,0.0003059039461609055,0.0036708473539308656,0.3034567145916182,0.030896298562251453,95.99,56.72,122.39,4.13,57.34,46.22,7.37,44.78,0.04,4.8,0.7611999210578252,0.06019340832839945,0.2885336491020328,0.0,0.11347937635681864,9.87,5.25,0.29,1232.03,82.53
1100049,94,Cacoal,RO,Norte,86416,0.8451559896315497,0.6355536011849657,0.10781568228105906,0.001365487872616182,0.8248241066469172,0.6378911312719867,0.11127568968709499,0.001677930012960563,1.5898907609701907,1.5756688576189595,0.7808828957939765,0.7533173334391178,0.0070414215165048085,0.03778266109023889,0.11358427258335106,0.05978119609650055,0.0006379314011100007,0.004401726667659004,0.18493631318178919,0.034831054500606036,83.54,85.74,84.78,3.48,21.19,41.79,5.77,49.27,1.87,20.72,0.38806471023884465,0.13099426032216258,0.18480374004813924,0.0,0.11752453249398259,13.75,11.12,1.97,1853.64,71.0
1100056,272,Cerejeiras,RO,Norte,16088,0.781700646444555,0.6489930382894082,0.14569865738438587,0.00174042764793635,0.8322352063649925,0.6670810542018896,0.14806066633515663,0.0020512182993535555,1.5781327697662855,1.6494281452013924,0.8143814487820444,0.7978464039008533,0.005306603773584905,0.014150943396226415,0.2511792452830189,0.04398584905660377,0.0006613756613756613,0.001984126984126984,0.19444444444444445,0.031635802469135804,95.35,84.12,103.97,4.18,15.33,47.83,5.08,46.07,0.08,6.12,0.6277971158627549,0.1009448035803083,0.18075584286424665,0.0,0.09062655395325708,12.36,8.83,0.64,1573.62,76.52000000000001
1100064,230,Colorado do Oeste,RO,Norte,15213,0.8591993689607572,0.6781699861960165,0.11279826464208242,0.0017747978702425558,1.04851114178663,0.8330375336882929,0.1322553079602971,0.0023663971603234074,1.6519424176690989,2.0161703805955433,0.7395711085031473,0.7356729891469723,0.006677999028654687,0.02950461389023798,0.15189412336085478,0.05184555609519184,0.0004496402877697842,0.0032598920863309354,0.2226843525179856,0.034734712230215826,79.78,47.74,94.65,4.55,26.54,41.15,6.89,49.89,0.05,12.81,0.7047919542496549,0.05843686320909748,0.25419049497140606,0.0,0.09866561493459541,12.94,10.23,1.32,1518.89,73.00999999999999
1100072,655,Corumbiara,RO,Norte,7052,0.8323879750425411,0.724758933635848,0.1555587067498582,0.0004254112308564946,0.814804310833806,0.6864719228587635,0.14350538854225753,0.0005672149744753262,1.7131310266591038,1.6453488372093024,0.6157694140066698,0.6377466127882101,0.007199602780536246,0.013157894736842105,0.07919563058589871,0.06256206554121152,0.0,0.0017605633802816902,0.22912474849094566,0.03697183098591549,118.71,55.17,160.92,3.52,70.51,37.83,8.72,51.41,0.05,2.87,0.8238797504254113,0.057855927396483264,0.23397617697107204,0.0,0.10606920022688598,5.95,2.95,0.34,1188.16,89.41
1100080,213,Costa Marques,RO,Norte,19255,0.4616463256297066,0.368475720592054,0.06060763438068034,0.0006751493118670475,0.4311607374707868,0.3341469748117372,0.052817450012983644,0.0005193456245131135,0.8914048299143079,0.8186445079200207,0.5877146397592494,0.6350639578630549,0.003900709219858156,0.005319148936170213,0.11631205673758865,0.04024822695035461,0.00015569048731122528,0.001089833411178577,0.17172660750428148,0.029425502101821578,78.84,83.8,87.04,2.5,45.19,31.4,6.83,59.15,2.00,2.74,0.44819527395481695,0.06102311088029083,0.12344845494676707,0.0002077382498052454,0.0343287457803168,9.72,6.54,1.31,1225.56,81.35
1100098,256,Espigão D'Oeste,RO,Norte,33009,0.6916901451119392,0.5301281468690358,0.053379381380835526,0.0005150110575903541,0.7055954436668788,0.539943651731346,0.057681238450119666,0.0005756005937774546,1.2757126844194007,1.303795934442122,0.7318582520871038,0.7634638063682821,0.005379065941020124,0.02208581192254145,0.09144412099734212,0.05480318946968738,0.00030144088744197265,0.002954120696931332,0.38686923494302766,0.02905890154940616,69.82,83.49,71.67,3.25,28.26,46.2,5.53,45.9,1.12,6.36,0.3828046896301009,0.20800387773031598,0.12954042836802085,0.0,0.1063043412402678,10.91,6.0,0.73,1455.66,79.78
1100106,19,Guajará-Mirim,RO,Norte,46930,0.6346260387811634,0.4397400383549968,0.04116769656935862,0.00038354996803750265,0.6562966119752823,0.48120605156616236,0.05171532069038994,0.000575324952056254,1.1159173236735564,1.1897933091838908,0.6871855261749278,0.655325369222239,0.004018861858321723,0.021862608509270173,0.06612367377558676,0.06119386989604544,0.0004602168132542442,0.0021476784618531396,0.4810799754551033,0.040141133156064636,46.63,56.29,53.09,3.11,15.48,20.46,7.73,59.29,10.68,1.68,0.5128489239292563,0.0933944172171319,0.13232473897293842,0.00019177498401875133,0.08327295972725336,17.19,12.16,2.32,1646.55,64.65
