"id_municipio","Município","Situação do domicílio","Grupo de idade","White","Black","Brown","Indigenous"
"4312005","Mariano Moro (RS)","Total","Total","92.91","0.21","6.74","-"
"4312054","Marques de Souza (RS)","Total","Total","94.36","0.21","5.43","-"
"4312104","Mata (RS)","Total","Total","82.26","3.03","14.27","-"
"4312138","Mato Castelhano (RS)","Total","Total","85.38","0.64","9.54","3.94"
"4312153","Mato Leitão (RS)","Total","Total","95.04","1.67","3.28","-"
"4312179","Mato Queimado (RS)","Total","Total","81.58","0.91","17.52","-"
"4312203","Maximiliano de Almeida (RS)","Total","Total","79.42","3.73","16.62","-"
"4312252","Minas do Leão (RS)","Total","Total","85.87","4.48","9.65","-"
"4312302","Miraguaí (RS)","Total","Total","80.29","2.25","15.31","2.09"
"4312351","Montauri (RS)","Total","Total","98.93","-","1.07","-"
"4312377","Monte Alegre dos Campos (RS)","Total","Total","67.48","5.41","24.49","-"
"4312385","Monte Belo do Sul (RS)","Total","Total","97.79","0.37","1.84","-"
"4312401","Montenegro (RS)","Total","Total","88.10","4.35","7.27","-"
"4312427","Mormaço (RS)","Total","Total","85.79","0.79","12.65","-"
"4312443","Morrinhos do Sul (RS)","Total","Total","98.65","0.20","1.14","-"
"4312450","Morro Redondo (RS)","Total","Total","90.30","5.77","2.20","0.06"
"4312476","Morro Reuter (RS)","Total","Total","95.19","0.61","4.21","-"
"4312500","Mostardas (RS)","Total","Total","77.53","9.72","12.11","0.26"
"4312609","Muçum (RS)","Total","Total","90.92","1.27","7.63","-"
"4312617","Muitos Capões (RS)","Total","Total","78.28","6.62","13.78","-"
"4312625","Muliterno (RS)","Total","Total","80.98","1.05","5.10","12.38"
"4312658","Não-Me-Toque (RS)","Total","Total","85.68","1.51","12.57","-"
"4312674","Nicolau Vergueiro (RS)","Total","Total","88.20","0.79","10.69","-"
"4312708","Nonoai (RS)","Total","Total","71.20","2.87","18.62","6.93"
"4312757","Nova Alvorada (RS)","Total","Total","84.95","1.22","13.43","-"
"4312807","Nova Araçá (RS)","Total","Total","92.60","1.42","5.87","0.11"
"4312906","Nova Bassano (RS)","Total","Total","90.84","0.93","8.23","-"
"4312955","Nova Boa Vista (RS)","Total","Total","97.38","0.56","2.06","-"
"4313003","Nova Bréscia (RS)","Total","Total","95.86","1.13","2.87","-"
"4313011","Nova Candelária (RS)","Total","Total","98.16","-","1.84","-"
"4313037","Nova Esperança do Sul (RS)","Total","Total","84.48","1.83","13.48","-"
"4313060","Nova Hartz (RS)","Total","Total","83.87","2.71","12.96","0.17"
"4313086","Nova Pádua (RS)","Total","Total","96.79","0.27","2.94","-"
"4313102","Nova Palma (RS)","Total","Total","84.56","2.66","12.58","-"
"4313201","Nova Petrópolis (RS)","Total","Total","93.06","0.95","5.46","0.10"
"4313300","Nova Prata (RS)","Total","Total","84.98","2.80","11.97","0.09"
"4313334","Nova Ramada (RS)","Total","Total","88.56","1.83","9.41","-"
"4313359","Nova Roma do Sul (RS)","Total","Total","95.83","0.83","3.21","-"
"4313375","Nova Santa Rita (RS)","Total","Total","89.45","2.32","7.98","0.04"
"4313391","Novo Cabrais (RS)","Total","Total","86.51","7.57","5.92","-"
"4313409","Novo Hamburgo (RS)","Total","Total","90.53","3.22","6.01","0.06"
"4313425","Novo Machado (RS)","Total","Total","91.75","1.32","6.85","-"
"4313441","Novo Tiradentes (RS)","Total","Total","78.51","3.14","18.35","-"
"4313466","Novo Xingu (RS)","Total","Total","91.69","0.53","6.52","0.26"
"4313490","Novo Barreiro (RS)","Total","Total","72.72","3.80","22.52","-"
"4313508","Osório (RS)","Total","Total","88.11","4.61","7.23","0.03"
"4313607","Paim Filho (RS)","Total","Total","86.43","3.88","9.29","-"
"4313656","Palmares do Sul (RS)","Total","Total","80.11","9.30","9.97","0.34"
"4313706","Palmeira das Missões (RS)","Total","Total","77.39","4.03","18.12","0.03"
"4313805","Palmitinho (RS)","Total","Total","84.83","1.93","12.74","0.18"
"4313904","Panambi (RS)","Total","Total","84.79","2.50","12.24","0.03"
"4313953","Pantano Grande (RS)","Total","Total","80.61","8.85","10.37","-"
"4314001","Paraí (RS)","Total","Total","90.41","1.19","8.22","-"
"4314027","Paraíso do Sul (RS)","Total","Total","88.39","3.32","8.30","-"
"4314035","Pareci Novo (RS)","Total","Total","97.78","0.27","1.95","-"
"4314050","Parobé (RS)","Total","Total","87.05","2.36","10.20","0.08"
"4314068","Passa Sete (RS)","Total","Total","85.39","2.84","10.41","0.07"
"4314076","Passo do Sobrado (RS)","Total","Total","92.35","4.69","2.80","-"
"4314100","Passo Fundo (RS)","Total","Total","83.11","2.26","14.25","0.07"
"4314134","Paulo Bento (RS)","Total","Total","93.43","1.08","5.19","-"
"4314159","Paverama (RS)","Total","Total","94.30","2.84","2.71","0.03"
"4314175","Pedras Altas (RS)","Total","Total","62.33","12.75","24.30","0.10"
"4314209","Pedro Osório (RS)","Total","Total","80.71","9.52","9.27","0.47"
"4314308","Pejuçara (RS)","Total","Total","86.93","0.86","12.06","-"
"4314407","Pelotas (RS)","Total","Total","80.80","10.61","8.09","0.19"
"4314423","Picada Café (RS)","Total","Total","92.93","0.86","5.73","0.11"
"4314456","Pinhal (RS)","Total","Total","75.22","1.15","22.38","-"
"4314464","Pinhal da Serra (RS)","Total","Total","74.45","1.35","22.73","-"
"4314472","Pinhal Grande (RS)","Total","Total","85.49","3.14","10.84","0.42"
"4314498","Pinheirinho do Vale (RS)","Total","Total","84.83","0.93","14.22","-"
"4314506","Pinheiro Machado (RS)","Total","Total","72.81","13.30","13.46","0.04"
"4314555","Pirapó (RS)","Total","Total","66.82","1.49","31.04","-"
"4314605","Piratini (RS)","Total","Total","77.22","11.13","9.46","0.31"
"4314704","Planalto (RS)","Total","Total","77.26","3.56","9.56","9.51"
"4314753","Poço das Antas (RS)","Total","Total","97.61","0.09","2.22","0.07"
"4314779","Pontão (RS)","Total","Total","84.80","2.03","13.07","-"
"4314787","Ponte Preta (RS)","Total","Total","95.10","0.99","3.75","-"
"4314803","Portão (RS)","Total","Total","87.20","2.98","9.19","0.04"
"4314902","Porto Alegre (RS)","Total","Total","79.40","10.01","9.98","0.29"
"4315008","Porto Lucena (RS)","Total","Total","85.53","1.77","12.59","-"
"4315057","Porto Mauá (RS)","Total","Total","86.04","0.59","12.50","-"
"4315073","Porto Vera Cruz (RS)","Total","Total","87.58","6.52","4.56","0.10"
"4315107","Porto Xavier (RS)","Total","Total","66.97","2.08","30.78","-"
"4315131","Pouso Novo (RS)","Total","Total","86.13","1.38","12.48","-"
"4315149","Presidente Lucena (RS)","Total","Total","95.19","0.52","3.09","-"
"4315156","Progresso (RS)","Total","Total","91.42","1.46","7.12","-"
